일자,time,교통량
2018-06-18,249,13
2018-06-19,278,0
2018-06-20,271,0
2018-06-21,299,18
2018-06-22,301,17
2018-06-23,285,0
2018-06-24,260,0
2018-06-25,279,12
2018-06-26,273,0
2018-06-27,279,0
2018-06-28,262,7
2018-06-29,275,0
2018-06-30,265,0
2018-07-01,273,0
2018-07-02,275,0
2018-07-03,272,11
2018-07-04,269,0
2018-07-05,290,0
2018-07-06,271,0
2018-07-07,287,0
2018-07-08,299,0
2018-07-09,266,15
2018-07-10,296,0
2018-07-11,265,0
2018-07-12,272,0
2018-07-13,257,0
2018-07-14,273,0
2018-07-15,267,0
2018-07-16,287,0
2018-07-17,269,0
2018-07-18,298,0
2018-07-19,263,0
2018-07-20,263,0
2018-07-21,278,0
2018-07-22,265,0
2018-07-23,281,24
2018-07-24,279,0
2018-07-25,265,0
2018-07-26,281,0
2018-07-27,278,0
2018-07-28,291,37
2018-07-29,264,0
2018-07-30,274,0
2018-07-31,291,0
2018-08-01,291,40
2018-08-02,285,32
2018-08-03,275,0
2018-08-04,290,0
2018-08-05,272,0
2018-08-06,271,0
2018-08-07,303,0
2018-08-08,281,30
2018-08-09,272,0
2018-08-10,282,0
2018-08-11,285,0
2018-08-12,265,0
2018-08-13,296,0
2018-08-14,282,0
2018-08-15,293,0
2018-08-16,276,0
2018-08-17,291,0
2018-08-18,277,0
2018-08-19,258,0
2018-08-20,261,0
2018-08-21,268,13
2018-08-22,272,0
2018-08-23,267,0
2018-08-24,276,0
2018-08-25,271,0
2018-08-26,289,19
2018-08-27,287,0
2018-08-28,275,18
2018-08-29,273,0
2018-08-30,270,0
2018-08-31,295,0
2018-09-01,277,0
2018-09-02,261,0
2018-09-03,266,0
2018-09-04,262,0
2018-09-05,257,0
2018-09-06,290,0
2018-09-07,282,0
2018-09-08,291,0
2018-09-09,314,0
2018-09-10,269,0
2018-09-11,278,0
2018-09-12,268,0
2018-09-13,259,0
2018-09-14,283,13
2018-09-15,307,6
2018-09-16,288,0
2018-09-17,281,0
2018-09-18,273,0
2018-09-19,261,0
2018-09-20,299,0
2018-09-21,276,0
2018-09-22,325,0
2018-09-23,331,0
2018-09-24,331,0
2018-09-25,289,0
2018-09-26,259,0
2018-09-27,295,0
2018-09-28,258,0
